Data e hora,Temperatura interna,Temperatura externa,Temperatura definida,Potencia ventoinha,Potencia Resistor
22-01-2023 20:13:21,24.19,0.00,35.00,0,100
22-01-2023 20:13:22,24.19,0.00,35.00,0,100
22-01-2023 20:13:24,24.25,0.00,35.00,0,100
22-01-2023 20:13:25,24.38,0.00,0.00,0,100
22-01-2023 20:13:26,24.56,0.00,0.00,0,100
22-01-2023 20:13:27,24.62,0.00,0.00,100,0
22-01-2023 20:13:29,24.81,0.00,35.00,0,100
22-01-2023 20:13:30,25.00,0.00,0.00,0,100
22-01-2023 20:13:31,25.00,0.00,0.00,0,100
22-01-2023 20:13:32,25.12,0.00,0.00,0,100
22-01-2023 20:13:34,25.12,0.00,0.00,100,0
22-01-2023 20:13:35,25.38,0.00,0.00,0,100
22-01-2023 20:13:36,25.38,0.00,35.00,0,100
22-01-2023 20:13:37,25.56,0.00,0.00,0,100
22-01-2023 20:13:39,25.56,0.00,35.00,0,100
22-01-2023 20:13:40,25.69,0.00,0.00,100,0
22-01-2023 20:13:41,25.81,0.00,35.00,0,100
22-01-2023 20:13:42,25.94,0.00,35.00,0,100
22-01-2023 20:13:44,26.12,0.00,35.00,0,100
22-01-2023 20:13:45,26.31,0.00,35.00,0,100
22-01-2023 20:13:46,26.31,0.00,0.00,100,0
22-01-2023 20:13:47,26.44,0.00,0.00,100,0
22-01-2023 20:13:49,26.62,0.00,35.00,0,100
22-01-2023 20:13:50,26.75,0.00,35.00,0,100
22-01-2023 20:13:51,26.88,0.00,35.00,0,100
22-01-2023 20:13:52,26.88,0.00,0.00,0,100
22-01-2023 20:13:54,27.00,0.00,0.00,100,0
22-01-2023 20:13:55,27.19,0.00,0.00,0,100
22-01-2023 20:13:56,27.38,0.00,35.00,0,100
22-01-2023 20:13:57,27.50,0.00,0.00,0,100
22-01-2023 20:13:59,27.50,0.00,35.00,0,100
22-01-2023 20:14:00,27.69,0.00,0.00,0,100
22-01-2023 20:14:01,27.69,0.00,35.00,0,100
22-01-2023 20:14:02,27.81,0.00,35.00,0,100
22-01-2023 20:14:04,27.94,0.00,35.00,0,100
22-01-2023 20:14:05,28.12,0.00,35.00,0,100
22-01-2023 20:14:06,28.12,0.00,35.00,0,100
22-01-2023 20:14:07,28.31,0.00,35.00,0,100
22-01-2023 20:14:21,30.19,0.00,35.00,0,85
22-01-2023 20:14:22,30.44,0.00,35.00,0,53
22-01-2023 20:14:23,30.44,0.00,0.00,100,0
22-01-2023 20:14:24,30.69,0.00,35.00,0,100
22-01-2023 20:14:26,30.88,0.00,35.00,0,61
22-01-2023 20:14:33,31.62,0.00,35.00,0,42
22-01-2023 20:14:34,31.81,0.00,35.00,0,37
22-01-2023 20:14:35,32.00,0.00,35.00,0,32
22-01-2023 20:14:37,32.00,0.00,35.00,0,100
22-01-2023 20:14:38,32.25,0.00,35.00,0,1
22-01-2023 20:14:39,32.44,0.00,35.00,0,20
22-01-2023 20:14:42,33.19,0.00,0.00,0,100
22-01-2023 20:14:44,33.19,0.00,35.00,100,0
22-01-2023 20:14:45,33.44,0.00,0.00,100,0
22-01-2023 20:14:46,33.44,0.00,35.00,0,60
